,X,Y,Z,omega,phi,kappa,c,b1,b2,b3,b4,b5,b6,b7,SE
70,0.02072794,0.05007721,-0.02899013,2.62851671,-2.33384683,-2.89783761,2310.83198324,-2.623810845693525,-6.265443499690407,0.5511450016986654,1.141087258069803,-2.7871067306330093,-1.1548109785992207,-0.8740417503775462,7.598634289797526
30,0.13432901,0.00048819,0.08130842,3.14198528,1.90569967,0.29381207,783.54566255,0.8177182418984272,-0.01790002992450135,2.2694269883908036,-7.227747307439539,0.2051532404254633,0.3346201855844283,0.3251329666354733,7.638706417255839
12,0.04341213,0.19311133,0.03080291,1.29394142,1.5934331,2.76931543,2627.03440118,-0.31059233841515543,0.09170103394662354,2.194829796728935,3.7603568018720543,1.0425746910748344,-6.869594437572481,-0.12158780098285935,8.387203623815378
11,0.09987483,0.03215622,-0.01467439,2.58057562,2.15579734,-1.65993625,1843.44313368,-1.9751725698244589,2.346734068403886,0.2470456327320557,0.0809171203700591,8.56886727817021,-10.027317408706827,-0.01737186828877285,13.623950945610218
79,-0.00194015,-0.00797108,-0.00865893,2.55881645,1.05662081,0.83195857,2721.819734,0.35865103184081615,-0.36706941693727146,-0.5399263485675363,0.14862827070635914,-1.0828662973544998,-1.091013254679311,-8.071686768910793,15.436892824369579
46,0.01521361,0.03431851,-0.02581496,1.49039163,-2.85385403,2.96831609,3648.08463326,-0.07624679814906553,0.7743543211398388,-0.34937842287976206,-0.3491319220167551,1.1930119166558848,-0.00020076082238214277,16.05203726257258,16.423720728128224
3,0.01040133,0.01876159,0.01003982,0.35566521,1.20019443,1.80723007,3626.81559265,-0.29746901876492743,-0.267328365895295,0.3527041403688931,0.08751191021298449,0.36073457834636397,-1.4021789931853872,-1.283547831380435,17.997777404020926
32,0.00449562,0.00082005,0.00163724,1.92352036,-1.1570933,-1.81499035,1583.59608165,-0.45431523229036275,0.024353852730386566,7.213858889738766,-17.58868394785383,0.4886407390716564,-0.7413147096328968,0.37537125366426033,19.041433337454343
6,0.01732354,0.00370527,-0.0371093,0.11671798,0.76112388,1.80068087,1992.87409771,-1.3296692459069963,1.0788448684523222,0.5435272786784376,-0.18271193067947716,0.6445883528761279,-2.240918811068569,-6.516841272219861,25.545151966498853
69,0.00414216,0.0009812,-0.00144653,1.89990017,-1.15508607,1.34074576,1280.0,-0.20590444123865098,-0.19430522395676453,-22.90781165245487,50.51595530212312,0.4280012106946698,-0.6160542012212818,0.19951094430487187,55.473746394975194
43,0.10258234,0.41270192,-0.04883653,0.93993156,1.56597302,-1.75417113,3172.59688968,-0.31332878729745717,1.4370964719242472,-0.42285089787865954,0.8202352480385133,0.5496439211579743,-3.4616865248338575,-13.778281419694032,178.65009241840892
62,0.02719184,0.00706942,0.01220782,2.15096601,-2.5903839,-0.27500935,2071.66988273,146.48386545722528,129.11392205306558,-0.30636605631654934,0.19834066914862405,1.8393238058174155,0.6120283703217586,-8.048523895033838,195.44893476432247
